Vacancy,Vacancy_Description,Industry,Company,Salary,Experience,Education,Location,Working_schedule,Working_conditions,Date
Аналитик,Эксперт-аналитик,"Консалтинг, стратегическое развитие Аналитика","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ПРОЕКТНЫЙ ОФИС ""РУХАНИ ЖАҢҒЫРУ"" УПРАВЛЕНИЯ ОБЩЕСТВЕННОГО РАЗВИТИЯ ГОРОДА АЛМАТЫ",от 80 000 тг.,1 год стажа,высшее,г. АЛМАТЫ / Алмалинский район,полный рабочий день,нормальные,10/9/2020
Системный инженер,инженер по компьютерной технике и сетям,"IT, телекоммуникации, связь, электроника Системная интеграция","Коммунальное государственное учреждение ""Лицей №2"" акимата города Караганды государственного учреждения ""Отдел образования города Караганды""",от 78 398 тг.,1 год стажа,высшее,г. АЛМАТЫ / Бостандыкский район,полный рабочий день,нормальные,10/5/2020
Аналитик,-,"Консалтинг, стратегическое развитие Аналитика","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDITEC""",от 80 000 тг.,1 год стажа,высшее,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Костанай,полный рабочий день,нормальные,10/9/2020
Аналитик по закупкам,Специалист по тендерам,"Логистика, таможня, склад Снабжение","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАДИАЦИОННАЯ И ПРОМЫШЛЕННАЯ БЕЗОПАСНОСТЬ""",от 60 000 тг.,1 год стажа,высшее,г. АЛМАТЫ / Бостандыкский район,полный рабочий день,нормальные,10/19/2020
Аналитик,-,"Консалтинг, стратегическое развитие Аналитика","Филиал Республиканского государственного казенного предприятия ""Центр судебных экспертиз Министерства юстиции Республики Казахстан"" Актюбинский межрегиональный центр судебных экспертиз (Актюбинская, Атырауская, Западно-Казахстанская и Мангистауская области)",от 42 500 тг.,Без опыта работы,высшее,АКТЮБИНСКАЯ ОБЛАСТЬ / г. Актобе,неполный рабочий день,нормальные,10/5/2020
Аналитик,Аналитик по продажам,"Консалтинг, стратегическое развитие Аналитика","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDITEC""",от 42 500 тг.,Без опыта работы,высшее,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Аркалык,неполный рабочий день,нормальные,10/5/2020
Аналитик,,"Консалтинг, стратегическое развитие Аналитика","Филиал Республиканского государственного казенного предприятия ""Центр судебных экспертиз Министерства юстиции Республики Казахстан"" Актюбинский межрегиональный центр судебных экспертиз (Актюбинская, Атырауская, Западно-Казахстанская и Мангистауская области)",от 42 500 тг.,Без опыта работы,высшее,АКТЮБИНСКАЯ ОБЛАСТЬ / г. Актобе,неполный рабочий день,нормальные,10/5/2020
Аналитик,,"Консалтинг, стратегическое развитие Аналитика","Филиал Республиканского государственного казенного предприятия ""Центр судебных экспертиз Министерства юстиции Республики Казахстан"" Актюбинский межрегиональный центр судебных экспертиз (Актюбинская, Атырауская, Западно-Казахстанская и Мангистауская области)",от 42 500 тг.,Без опыта работы,высшее,АКТЮБИНСКАЯ ОБЛАСТЬ / г. Актобе,неполный рабочий день,нормальные,10/5/2020
Аналитик,-,"Консалтинг, стратегическое развитие Аналитика","Филиал Республиканского государственного казенного предприятия ""Центр судебных экспертиз Министерства юстиции Республики Казахстан"" Актюбинский межрегиональный центр судебных экспертиз (Актюбинская, Атырауская, Западно-Казахстанская и Мангистауская области)",от 42 500 тг.,Без опыта работы,высшее,АКТЮБИНСКАЯ ОБЛАСТЬ / г. Актобе,неполный рабочий день,нормальные,10/5/2020
Аналитик,Аналитик по продажам,"Консалтинг, стратегическое развитие Аналитика","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDITEC""",от 42 500 тг.,Без опыта работы,высшее,КОСТАНАЙСКАЯ ОБЛАСТЬ / г. Аркалык,неполный рабочий день,нормальные,10/5/2020
Аналитик,,"Консалтинг, стратегическое развитие Аналитика","Филиал Республиканского государственного казенного предприятия ""Центр судебных экспертиз Министерства юстиции Республики Казахстан"" Актюбинский межрегиональный центр судебных экспертиз (Актюбинская, Атырауская, Западно-Казахстанская и Мангистауская области)",от 42 500 тг.,Без опыта работы,высшее,АКТЮБИНСКАЯ ОБЛАСТЬ / г. Актобе,неполный рабочий день,нормальные,10/5/2020
Аналитик,,"Консалтинг, стратегическое развитие Аналитика","Филиал Республиканского государственного казенного предприятия ""Центр судебных экспертиз Министерства юстиции Республики Казахстан"" Актюбинский межрегиональный центр судебных экспертиз (Актюбинская, Атырауская, Западно-Казахстанская и Мангистауская области)",от 42 500 тг.,Без опыта работы,высшее,АКТЮБИНСКАЯ ОБЛАСТЬ / г. Актобе,неполный рабочий день,нормальные,10/5/2020
Врач неонатолог-реаниматолог,врач рентгенолог-маммолог,"Медицина, фармацевтика Медицина, фармацевтика","Государственное коммунальное предприятие ""Хромтауская районная больница"" на праве хозяйственного ведения государственного учреждения ""Управление здравоохранения Актюбинской области""",от 100 000 тг.,Без опыта работы,высшее,ПАВЛОДАРСКАЯ ОБЛАСТЬ / г. Павлодар,полный рабочий день,нормальные,10/6/2020
Врач-рентгенолог,врач клинический фармаколог,"Медицина, фармацевтика Медицина, фармацевтика","Коммунальное государственное предприятие на праве хозяйственного ведения ""Павлодарский областной онкологический диспансер"" управления здравоохранения Павлодарской области, акимата Павлодарской области",от 137 519 тг.,Без опыта работы,высшее,АТЫРАУСКАЯ ОБЛАСТЬ / Жылыойский район,полный рабочий день,нормальные,10/6/2020
Сетевой инженер,инженер оборудования,"IT, телекоммуникации, связь, электроника Сетевые технологии","КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ШКОЛА № 4 ГОРОДА АКСУ""",от 64 434 тг.,Без опыта работы,высшее,г. АЛМАТЫ / Бостандыкский район,полный рабочий день,нормальные,10/7/2020
Специалист техподдержки сетевой диагностики,Главный менеджер Направления корпоративных продаж,"IT, телекоммуникации, связь, электроника Сетевые технологии","Акционерное общество ""Исламский Банк ""Al Hilal""",от 95 000 тг.,1 год стажа,техническое и профессиональное,АКМОЛИНСКАЯ ОБЛАСТЬ / г. Степногорск,полный рабочий день,нормальные,10/7/2020
Кредитный менеджер,"инспектор досудебного взыскания, инспектор по розыску","Банки, инвестиции, лизинг Кредитование","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОЛЛЕКТОРСКОЕ АГЕНТСТВО ОМАЛЬ""",от 80 000 тг.,1 год стажа,техническое и профессиональное,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,10/7/2020
Кредитный менеджер,"инспектор досудебного взыскания, инспектор по розыску","Банки, инвестиции, лизинг Кредитование","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОЛЛЕКТОРСКОЕ АГЕНТСТВО ОМАЛЬ""",от 80 000 тг.,1 год стажа,техническое и профессиональное,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,10/7/2020
Инспектор кредитный,Главный кредитный менеджер малого и среднего бизнеса,"Банки, инвестиции, лизинг Кредитование","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОЛЛЕКТОРСКОЕ АГЕНТСТВО ЮЖНЫЙ КОРПУС""",от 45 000 тг.,Без опыта работы,техническое и профессиональное,г. ШЫМКЕНТ / Аль-Фарабийский район,полный рабочий день,нормальные,10/8/2020
Аналитик по закупкам,Специалист по тендерам,"Логистика, таможня, склад Снабжение","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РАДИАЦИОННАЯ И ПРОМЫШЛЕННАЯ БЕЗОПАСНОСТЬ""",от 60 000 тг.,1 год стажа,высшее,КАРАГАНДИНСКАЯ ОБЛАСТЬ / г. Жезказган,полный рабочий день,нормальные,10/19/2020
Инспектор кредитный,Главный кредитный менеджер малого и среднего бизнеса,"Банки, инвестиции, лизинг Кредитование","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОЛЛЕКТОРСКОЕ АГЕНТСТВО ЮЖНЫЙ КОРПУС""",от 45 000 тг.,Без опыта работы,техническое и профессиональное,г. ШЫМКЕНТ / Аль-Фарабийский район,полный рабочий день,нормальные,10/8/2020
Инспектор кредитный,Главный кредитный менеджер малого и среднего бизнеса,"Банки, инвестиции, лизинг Кредитование","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОЛЛЕКТОРСКОЕ АГЕНТСТВО ЮЖНЫЙ КОРПУС""",от 45 000 тг.,Без опыта работы,техническое и профессиональное,г. ШЫМКЕНТ / Аль-Фарабийский район,полный рабочий день,нормальные,10/8/2020
Кредитный менеджер,кредитный эксперт,"Банки, инвестиции, лизинг Кредитование","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""PROFESSIONAL COLLECTION GROUP"" КОЛЛЕКТОРЛЫҚ АГЕНТТІГІ""",от 60 000 тг.,Без опыта работы,техническое и профессиональное,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,10/8/2020
Кредитный менеджер,кредитный эксперт,"Банки, инвестиции, лизинг Кредитование","ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""PROFESSIONAL COLLECTION GROUP"" КОЛЛЕКТОРЛЫҚ АГЕНТТІГІ""",от 60 000 тг.,Без опыта работы,техническое и профессиональное,г. НУР-СУЛТАН / район Есиль,полный рабочий день,нормальные,10/8/2020
